Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6
758.474,-808.86,-785.009,2100,-7140,-770
750.849,-844.301,-811.971,2520,-3500,-4760
753.167,-865.59,-833.382,3780,1680,-10010
753.106,-880.84,-847.778,5110,7700,-15680
750.544,-890.295,-838.628,6090,13930,-21070
757.376,-884.012,-858.88,5740,19460,-27370
743.224,-887.428,-833.565,5250,26180,-32690
744.2,-888.709,-821.853,5110,31150,-37520
743.895,-902.861,-810.995,5460,35420,-42350
733.342,-934.276,-790.621,6090,38640,-47250
732.366,-966.972,-805.322,7350,40250,-53270
728.462,-998.631,-823.805,8890,43190,-61740
714.981,-1013.64,-794.769,11130,47180,-72310
700.524,-1032.18,-790.011,12460,48650,-82040
704.367,-1012.97,-813.374,11340,50330,-92890
676.734,-964.715,-797.148,8050,54390,-103810
650.565,-921.466,-761.524,3990,58310,-112070
643.55,-909.449,-706.197,350,60620,-118090
659.288,-903.41,-673.989,-3220,59710,-123830
651.724,-891.21,-648.796,-8330,57470,-131180
636.535,-874.191,-608.536,-12810,54110,-138950
626.104,-822.585,-608.109,-18200,49420,-146580
579.073,-754.875,-618.906,-23310,46900,-153440
543.022,-706.319,-668.743,-24990,47040,-157150
527.101,-672.891,-686.921,-24710,52430,-160720
514.901,-654.835,-690.886,-21980,60060,-164990
506.971,-617.93,-687.226,-18270,68880,-170520
484.645,-582.489,-661.545,-14350,77630,-175560
480.253,-552.66,-661.85,-11200,85050,-179970
470.31,-515.511,-635.315,-7560,93520,-185220
464.82,-483.669,-594.14,-2590,101780,-190820
467.26,-429.013,-538.569,2520,109270,-197050
467.077,-403.088,-448.045,7700,114100,-201600
498.187,-363.255,-426.329,9940,113960,-205100
492.026,-282.674,-396.927,8680,114660,-210840
453.779,-222.589,-309.758,9590,114870,-213640
473.726,-189.1,-309.575,10290,110950,-212380
486.17,-127.917,-294.02,9100,109410,-213710
464.515,-74.359,-241.804,9660,108150,-215040
459.757,-25.62,-239.486,10150,105490,-215180
450.485,41.785,-214.354,10010,105210,-215880
445.483,98.454,-159.637,11690,104790,-215530
451.705,152.622,-144.509,13510,102410,-214620
454.877,188.124,-124.196,15680,101150,-215250
448.35,265.594,-102.663,19320,100240,-218330
415.654,388.814,-63.745,24360,100380,-222180
378.139,541.802,-15.433,33390,100590,-222600
383.629,640.256,2.501,44730,99540,-217000
411.018,695.278,23.424,53060,98420,-209790
424.377,756.583,58.072,58310,96320,-203350
449.387,786.29,76.433,58730,92190,-196070
451.034,861.442,124.745,54740,87990,-191310
440.969,974.353,196.969,49280,82180,-186760
420.107,1098.85,263.947,43260,73150,-179550
404.918,1204.45,323.544,36610,61530,-169680
403.881,1268.62,342.271,30030,47460,-158410
410.225,1289.72,328.058,21280,32970,-146650
397.903,1314.85,320.982,10850,19600,-135590
396.256,1348.1,298.229,1610,6790,-121730
415.105,1334.31,274.5,-5670,-5740,-103110
423.157,1292.59,208.315,-10570,-17990,-83790
443.958,1266.06,158.844,-10920,-26670,-64820
464.088,1207.98,88.572,-7770,-33460,-45710
474.763,1146.43,14.274,-2240,-37170,-28000
500.139,1053.59,-51.972,4480,-37800,-12460
530.822,950.38,-121.512,10220,-36820,-1400
556.198,853.329,-174.033,12600,-34440,5670
576.145,789.218,-214.049,11200,-31430,9590
593.53,760.243,-240.95,8540,-28070,12040
611.159,729.926,-257.725,6230,-24430,15120
632.143,696.437,-269.193,4130,-20790,18200
661.911,654.713,-268.034,2030,-17360,21140
687.958,615.368,-267.302,-980,-14630,22820
708.881,589.626,-261.568,-4410,-12600,22960
724.131,563.335,-257.908,-8050,-10920,22120
732.122,559.004,-249.856,-11130,-8680,19460
732.61,585.661,-237.412,-12180,-5950,15890
734.989,616.71,-220.637,-10920,-2590,13370
741.272,639.463,-200.385,-8190,1050,11970
755.424,648.003,-178.913,-5530,4200,11760
774.029,634.156,-158.539,-4550,6300,12110
782.874,636.657,-131.272,-5810,7280,11690
789.462,644.221,-113.521,-7980,6930,11550
792.268,651.541,-102.541,-9800,6020,11550
790.133,659.532,-98.027,-10780,5530,11550
789.889,664.656,-98.698,-10570,5600,11690
793.488,655.628,-96.563,-9940,6580,12040
794.647,648.796,-88.267,-9380,7840,11900
795.623,644.16,-83.326,-8890,8890,11690
802.15,635.803,-72.346,-8820,9800,11760
805.749,626.47,-56.974,-8750,10080,11200
804.346,622.749,-42.822,-8400,9450,10080
800.686,622.566,-31.171,-7630,8190,8750
799.649,622.871,-23.424,-6440,6440,7490
793.793,623.481,-27.084,-4900,4410,6090
786.107,622.444,-35.38,-3780,2800,4900
779.092,626.47,-41.419,-3080,1680,3850
766.77,631.411,-45.628,-2590,910,3080
756.461,633.912,-46.116,-2240,420,2800
748.226,644.343,-47.458,-2100,0,2450
744.444,657.702,-50.569,-1890,-490,2520
748.165,659.898,-48.434,-1540,-910,3080
749.568,664.351,-43.92,-1470,-1750,3220
745.176,669.414,-44.774,-1260,-3150,3430
746.701,671.122,-51.423,-1120,-4620,4060
743.834,669.902,-59.658,-1120,-5740,4620
735.538,675.148,-66.185,-910,-6370,4900
729.011,678.503,-73.322,-350,-6440,5460
728.584,679.906,-79.788,350,-6230,6230
724.375,680.211,-83.265,1050,-5740,6930
722.972,675.697,-81.801,1400,-5250,7840
721.691,673.257,-82.106,1540,-4690,8400
719.8,675.819,-75.762,1540,-3990,8890
723.826,678.747,-66.368,1750,-3570,9450
731.573,682.163,-58.56,1960,-3710,10080
735.965,686.433,-53.863,2310,-4270,10500
735.416,689.605,-51.057,2800,-5250,11200
